iter	Passed	Remaining
0	1	100
1	1	94
2	2	90
3	3	84
4	4	86
5	5	90
6	6	90
7	7	88
8	8	85
9	9	82
10	10	81
11	10	79
12	11	78
13	12	78
14	13	77
15	14	76
16	15	76
17	16	75
18	17	74
19	18	74
20	19	73
21	20	73
22	21	71
23	22	70
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	59
36	34	58
37	35	57
38	35	56
39	36	55
40	37	54
41	37	52
42	38	51
43	39	50
44	40	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	45
51	47	44
52	48	43
53	49	42
54	49	40
55	50	39
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	65	25
72	67	24
73	67	23
74	68	22
75	69	22
76	70	21
77	71	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
